n u uR uL e
1707.0 330.89152172 64.0 -64.0 -16.0
1708.0 -494.513089998 -95.0 95.0 8.0
1709.0 207.473667804 39.0 -39.0 8.0
1710.0 267.913397489 51.0 -51.0 -16.0
1711.0 -499.956475676 -96.0 96.0 8.0
1712.0 279.480685353 54.0 -54.0 8.0
1713.0 193.081824254 37.0 -37.0 -16.0
1714.0 -491.377544256 -95.0 95.0 10.0
1715.0 347.956398296 67.0 -67.0 8.0
1716.0 107.231290223 19.0 -19.0 -17.0
1717.0 -466.149276393 -89.0 89.0 8.0
1718.0 408.894134749 80.0 -80.0 4.0
1719.0 12.2509852115 1.0 -1.0 -17.0
1720.0 -422.163962751 -81.0 81.0 8.0
1721.0 457.747072761 89.0 -89.0 6.0
1722.0 -88.7484918319 -18.0 18.0 8.0
1723.0 -358.187505971 -73.0 73.0 8.0
1724.0 489.675016169 96.0 -96.0 -16.0
1725.0 -191.341716182 -35.0 35.0 -17.0
1726.0 -274.248778203 -51.0 51.0 30.0
1727.0 499.916998923 93.0 -93.0 -14.0
1728.0 -289.811280723 -55.0 55.0 8.0
1729.0 -172.026515653 -36.0 36.0 8.0
1730.0 484.291580564 95.0 -95.0 -14.0
1731.0 -377.331888411 -72.0 72.0 10.0
1732.0 -55.1794067383 -13.0 13.0 8.0
1733.0 439.807682945 86.0 -86.0 -14.0
1734.0 -446.355846205 -86.0 86.0 6.0
1735.0 70.4506159689 12.0 -12.0 8.0
1736.0 365.343388928 71.0 -71.0 -16.0
1737.0 -489.225681939 -94.0 94.0 6.0
1738.0 196.842611613 38.0 -38.0 8.0
1739.0 262.319915364 50.0 -50.0 -14.0
1740.0 -499.013364214 -97.0 97.0 8.0
1741.0 314.090179823 61.0 -61.0 8.0
1742.0 135.266618377 25.0 -25.0 -16.0
1743.0 -470.546709265 -90.0 90.0 -16.0
1744.0 411.05214791 85.0 -85.0 8.0
1745.0 -7.85365865574 -3.0 3.0 -16.0
1746.0 -401.533575422 -77.0 77.0 8.0
1747.0 476.394375372 93.0 -93.0 8.0
1748.0 -155.703140815 -32.0 32.0 -17.0
1749.0 -293.638407966 -55.0 55.0 8.0
1750.0 500.0 98.0 -98.0 6.0
1751.0 -294.146728302 -60.0 60.0 8.0
1752.0 -153.3128776 -32.0 32.0 8.0
1753.0 474.64693475 93.0 -93.0 6.0
1754.0 -407.442537747 -82.0 82.0 10.0
1755.0 7.85365865587 0.0 0.0 8.0
1756.0 397.757892444 77.0 -77.0 -16.0
1757.0 -480.059100426 -92.0 92.0 8.0
1758.0 173.500563864 33.0 -33.0 -16.0
1759.0 272.934002264 57.0 -57.0 -16.0
1760.0 -499.013364214 -96.0 96.0 8.0
1761.0 323.767445286 63.0 -63.0 -14.0
1762.0 110.910401024 24.0 -24.0 -16.0
1763.0 -456.474084507 -88.0 88.0 8.0
1764.0 437.546567331 85.0 -85.0 -17.0
1765.0 -70.450615969 -10.0 10.0 -16.0
1766.0 -352.218016481 -67.0 67.0 4.0
1767.0 495.612385537 98.0 -98.0 8.0
1768.0 -247.456396696 -51.0 51.0 -16.0
1769.0 -195.397695449 -35.0 35.0 6.0
1770.0 484.291580564 95.0 -95.0 8.0
1771.0 -393.338244774 -80.0 80.0 -16.0
1772.0 -5.02646357855 2.0 -2.0 8.0
1773.0 399.08655692 78.0 -78.0 8.0
1774.0 -482.361512189 -98.0 98.0 8.0
1775.0 191.341716183 36.0 -36.0 8.0
1776.0 247.456396696 47.0 -47.0 -15.0
1777.0 -494.833203953 -95.0 95.0 8.0
1778.0 361.025044512 70.0 -70.0 -16.0
1779.0 49.8682744605 13.0 -13.0 -17.0
1780.0 -422.163962751 -81.0 81.0 -17.0
1781.0 471.599733214 97.0 -97.0 -14.0
1782.0 -161.661455668 -29.0 29.0 4.0
1783.0 -270.824763172 -54.0 54.0 8.0
1784.0 497.600055445 97.0 -97.0 -16.0
1785.0 -347.956398296 -66.0 66.0 4.0
1786.0 -63.9131456544 -13.0 13.0 8.0
1787.0 427.30193696 83.0 -83.0 -14.0
1788.0 -469.798537053 -91.0 91.0 8.0
1789.0 160.769312916 30.0 -30.0 8.0
1790.0 267.913397489 51.0 -51.0 -16.0
1791.0 -496.770102318 -96.0 96.0 8.0
1792.0 356.649690057 69.0 -69.0 8.0
1793.0 47.3669123661 7.0 -7.0 -16.0
1794.0 -415.996427776 -79.0 79.0 8.0
1795.0 477.896507399 93.0 -93.0 8.0
1796.0 -188.726462959 -39.0 39.0 -17.0
1797.0 -238.395300179 -44.0 44.0 8.0
1798.0 490.906604143 96.0 -96.0 6.0
1799.0 -385.456797981 -78.0 78.0 8.0
1800.0 -8.2311120438e-11 -1.0 1.0 8.0
1801.0 385.056292702 75.0 -75.0 6.0
1802.0 -491.377544256 -99.0 99.0 8.0
1803.0 243.3506713 47.0 -47.0 8.0
1804.0 179.379487675 34.0 -34.0 -16.0
1805.0 -473.042679414 -91.0 91.0 8.0
1806.0 428.115510842 84.0 -84.0 -16.0
1807.0 -77.9069256577 -12.0 12.0 -16.0
1808.0 -327.344021797 -62.0 62.0 10.0
1809.0 499.964371151 97.0 -97.0 -16.0
1810.0 -318.711994874 -60.0 60.0 -16.0
1811.0 -87.202202226 -14.0 14.0 8.0
1812.0 431.32747343 84.0 -84.0 -17.0
1813.0 -472.428749419 -91.0 91.0 8.0
1814.0 182.893304663 34.0 -34.0 4.0
1815.0 233.96490713 45.0 -45.0 8.0
1816.0 -487.543724136 -99.0 99.0 8.0
1817.0 402.467611924 78.0 -78.0 4.0
1818.0 -38.9163493238 -8.0 8.0 -15.0
1819.0 -351.10138004 -67.0 67.0 -16.0
1820.0 499.013364214 103.0 -103.0 -16.0
1821.0 -304.214528271 -57.0 57.0 8.0
1822.0 -98.6233540108 -21.0 21.0 8.0
1823.0 433.691774462 85.0 -85.0 -16.0
1824.0 -473.14434769 -91.0 91.0 10.0
1825.0 191.341716182 36.0 -36.0 8.0
1826.0 219.687417843 42.0 -42.0 -16.0
1827.0 -481.945593757 -93.0 93.0 8.0
1828.0 419.449316114 82.0 -82.0 -15.0
1829.0 -75.423373819 -12.0 12.0 -14.0
1830.0 -318.711994874 -60.0 60.0 4.0
1831.0 499.632796975 99.0 -99.0 10.0
1832.0 -347.730723597 -71.0 71.0 -16.0
1833.0 -34.8434152326 -3.0 3.0 4.0
1834.0 393.919398883 77.0 -77.0 10.0
1835.0 -492.554663077 -100.0 100.0 -14.0
1836.0 266.8515387 56.0 -56.0 8.0
1837.0 133.753731021 25.0 -25.0 10.0
1838.0 -446.355846205 -91.0 91.0 -16.0
1839.0 467.2763491 96.0 -96.0 -14.0
1840.0 -184.062276343 -34.0 34.0 -17.0
1841.0 -218.275283709 -40.0 40.0 8.0
1842.0 478.901215481 94.0 -94.0 -14.0
1843.0 -430.211008483 -83.0 83.0 8.0
1844.0 104.775150123 19.0 -19.0 8.0
1845.0 287.502626022 55.0 -55.0 -16.0
1846.0 -495.402300979 -95.0 95.0 6.0
1847.0 387.052725895 76.0 -76.0 8.0
1848.0 -32.6493166648 -8.0 8.0 -16.0
1849.0 -342.044473169 -65.0 65.0 6.0
1850.0 500.0 98.0 -98.0 10.0
1851.0 -342.502497636 -70.0 70.0 -16.0
1852.0 -30.141004555 -2.0 2.0 8.0
1853.0 383.448197363 75.0 -75.0 8.0
1854.0 -496.662266846 -100.0 100.0 -16.0
1855.0 300.210112663 63.0 -63.0 8.0
1856.0 82.5582305916 14.0 -14.0 8.0
1857.0 -413.716789197 -84.0 84.0 8.0
1858.0 488.898934256 96.0 -96.0 -16.0
1859.0 -262.854610932 -49.0 49.0 8.0
1860.0 -124.344943582 -26.0 26.0 8.0
1861.0 434.936996602 85.0 -85.0 -14.0
1862.0 -479.617546264 -93.0 93.0 6.0
1863.0 232.29738953 45.0 -45.0 8.0
1864.0 155.703140815 29.0 -29.0 -14.0
1865.0 -449.01378788 -87.0 87.0 4.0
1866.0 471.075545902 93.0 -93.0 10.0
1867.0 -209.757728124 -43.0 43.0 -14.0
1868.0 -177.031265393 -32.0 32.0 8.0
1869.0 457.493919198 89.0 -89.0 8.0
1870.0 -464.888242944 -94.0 94.0 -14.0
1871.0 195.975894134 41.0 -41.0 8.0
1872.0 188.726462959 36.0 -36.0 8.0
1873.0 -461.457413647 -93.0 93.0 -16.0
1874.0 462.059898611 95.0 -95.0 -16.0
1875.0 -191.341716183 -35.0 35.0 8.0
1876.0 -191.051433117 -39.0 39.0 8.0
1877.0 461.457413647 90.0 -90.0 -16.0
1878.0 -463.014386579 -89.0 89.0 6.0
1879.0 195.975894134 37.0 -37.0 8.0
1880.0 184.062276342 35.0 -35.0 -14.0
1881.0 -457.493919198 -88.0 88.0 6.0
1882.0 467.6108757 92.0 -92.0 8.0
1883.0 -209.757728124 -43.0 43.0 -16.0
1884.0 -167.594242303 -30.0 30.0 -16.0
1885.0 449.01378788 93.0 -93.0 8.0
1886.0 -475.138434501 -96.0 96.0 -14.0
1887.0 232.29738953 49.0 -49.0 30.0
1888.0 141.304668415 22.0 -22.0 8.0
1889.0 -434.936996602 -88.0 88.0 8.0
1890.0 484.291580564 95.0 -95.0 -16.0
1891.0 -262.854610932 -49.0 49.0 8.0
1892.0 -104.775150123 -22.0 22.0 8.0
1893.0 413.716789197 81.0 -81.0 -14.0
1894.0 -493.137038319 -95.0 95.0 6.0
1895.0 300.210112663 58.0 -58.0 8.0
1896.0 57.676621704 9.0 -9.0 -16.0
1897.0 -383.448197363 -73.0 73.0 4.0
1898.0 499.090693005 99.0 -99.0 8.0
1899.0 -342.502497636 -70.0 70.0 -14.0
1900.0 -1.40133018777e-10 2.0 -2.0 8.0
1901.0 342.044473169 66.0 -66.0 8.0
1902.0 -498.932883383 -101.0 101.0 -16.0
1903.0 387.052725895 80.0 -80.0 -16.0
1904.0 -67.6502785273 -10.0 10.0 8.0
1905.0 -287.502626021 -59.0 59.0 -16.0
1906.0 488.898934256 100.0 -100.0 -16.0
1907.0 -430.211008483 -82.0 82.0 8.0
1908.0 143.713693887 27.0 -27.0 -15.0
1909.0 218.275283709 46.0 -46.0 -16.0
1910.0 -464.888242944 -89.0 89.0 6.0
1911.0 467.2763491 92.0 -92.0 10.0
1912.0 -225.314133065 -47.0 47.0 -16.0
1913.0 -133.753731021 -23.0 23.0 6.0
1914.0 422.835968543 83.0 -83.0 8.0
1915.0 -492.554663077 -100.0 100.0 -16.0
1916.0 307.940752716 64.0 -64.0 -16.0
1917.0 34.8434152326 10.0 -10.0 8.0
1918.0 -359.281705444 -73.0 73.0 -16.0
1919.0 499.632796975 103.0 -103.0 -16.0
1920.0 -385.256621388 -73.0 73.0 8.0
1921.0 75.423373819 13.0 -13.0 -16.0
1922.0 272.143842869 57.0 -57.0 -16.0
1923.0 -481.945593757 -93.0 93.0 10.0
1924.0 449.151910206 87.0 -87.0 8.0
1925.0 -191.341716182 -39.0 39.0 -14.0
1926.0 -161.661455668 -29.0 29.0 4.0
1927.0 433.691774462 85.0 -85.0 8.0
1928.0 -490.176941567 -99.0 99.0 8.0
1929.0 304.214528271 59.0 -59.0 6.0
1930.0 31.3952597646 5.0 -5.0 8.0
1931.0 -351.10138004 -71.0 71.0 8.0
1932.0 498.483217125 98.0 -98.0 -16.0
1933.0 -402.467611924 -77.0 77.0 8.0
1934.0 110.910401024 20.0 -20.0 -16.0
1935.0 233.96490713 49.0 -49.0 10.0
1936.0 -465.34937317 -95.0 95.0 8.0
1937.0 472.428749419 92.0 -92.0 8.0
1938.0 -252.89644257 -52.0 52.0 -17.0
1939.0 -87.2022022258 -14.0 14.0 8.0
1940.0 385.256621388 75.0 -75.0 -17.0
1941.0 -499.964371151 -96.0 96.0 8.0
1942.0 377.949588429 73.0 -73.0 4.0
1943.0 -77.9069256575 -16.0 16.0 8.0
1944.0 -258.296553164 -53.0 53.0 8.0
1945.0 473.042679414 93.0 -93.0 6.0
1946.0 -466.715115892 -94.0 94.0 10.0
1947.0 243.3506713 46.0 -46.0 8.0
1948.0 92.4559841275 16.0 -16.0 -16.0
1949.0 -385.056292702 -73.0 73.0 8.0
1950.0 500.0 98.0 -98.0 -14.0
1951.0 -385.456797981 -74.0 74.0 -16.0
1952.0 94.924738657 22.0 -22.0 8.0
1953.0 238.395300179 46.0 -46.0 -16.0
1954.0 -463.014386579 -89.0 89.0 8.0
1955.0 477.896507399 93.0 -93.0 8.0
1956.0 -277.39317237 -57.0 57.0 -17.0
1957.0 -47.366912366 -6.0 6.0 -16.0
1958.0 350.429734158 73.0 -73.0 6.0
1959.0 -496.770102318 -100.0 100.0 8.0
1960.0 422.163962751 82.0 -82.0 10.0
1961.0 -160.769312916 -34.0 34.0 6.0
1962.0 -171.141270835 -35.0 35.0 8.0
1963.0 427.30193696 83.0 -83.0 -16.0
1964.0 -495.898285753 -95.0 95.0 -16.0
1965.0 347.956398296 72.0 -72.0 8.0
1966.0 -48.9304079349 -11.0 11.0 -14.0
1967.0 -270.824763172 -51.0 51.0 8.0
1968.0 473.14434769 93.0 -93.0 8.0
1969.0 -471.599733214 -95.0 95.0 -14.0
1970.0 267.913397489 56.0 -56.0 8.0
1971.0 49.8682744602 8.0 -8.0 8.0
1972.0 -345.92039147 -70.0 70.0 8.0
1973.0 494.833203953 97.0 -97.0 8.0
1974.0 -434.47132441 -88.0 88.0 4.0
1975.0 191.341716183 37.0 -37.0 8.0
1976.0 131.633474309 24.0 -24.0 -14.0
1977.0 -399.08655692 -77.0 77.0 6.0
1978.0 499.974734026 98.0 -98.0 8.0
1979.0 -393.338244774 -80.0 80.0 -16.0
1980.0 124.344943582 28.0 -28.0 -16.0
1981.0 195.39769545 42.0 -42.0 8.0
1982.0 -434.47132441 -88.0 88.0 -16.0
1983.0 495.612385537 102.0 -102.0 -14.0
1984.0 -354.883739929 -68.0 68.0 8.0
1985.0 70.4506159688 12.0 -12.0 -16.0
1986.0 241.977274589 51.0 -51.0 -16.0
1987.0 -456.474084507 -88.0 88.0 8.0
1988.0 487.543724136 95.0 -95.0 8.0
1989.0 -323.767445286 -66.0 66.0 -14.0
1990.0 31.3952597649 9.0 -9.0 4.0
1991.0 272.934002264 53.0 -53.0 8.0
1992.0 -468.932355824 -95.0 95.0 -16.0
1993.0 480.059100426 99.0 -99.0 4.0
1994.0 -302.966432132 -61.0 61.0 8.0
1995.0 7.85365865581 0.0 0.0 -16.0
1996.0 289.811280723 61.0 -61.0 -14.0
1997.0 -474.64693475 -92.0 92.0 8.0
1998.0 475.915078099 93.0 -93.0 -16.0
1999.0 -294.146728302 -55.0 55.0 -14.0
