n u uR uL e
295.0 -477.896507399 -140.0 140.0 139.0
296.0 -498.672533837 -127.0 127.0 30.0
297.0 -451.202436552 -96.0 96.0 -85.0
298.0 -341.356423942 -51.0 51.0 -188.0
299.0 -183.770142131 0.0 0.0 -266.0
300.0 -1.10218211923e-12 53.0 -53.0 -269.0
301.0 184.354337888 90.0 -90.0 -273.0
302.0 343.188520001 123.0 -123.0 -262.0
303.0 453.61014889 143.0 -143.0 -189.0
304.0 499.303762356 137.0 -137.0 -63.0
305.0 473.042679414 107.0 -107.0 53.0
306.0 377.949588429 64.0 -64.0 164.0
307.0 227.275122999 12.0 -12.0 223.0
308.0 42.6736824528 -36.0 36.0 254.0
309.0 -148.820740996 -80.0 80.0 251.0
310.0 -318.711994874 -113.0 113.0 254.0
311.0 -441.293402131 -139.0 139.0 223.0
312.0 -497.600055445 -144.0 144.0 121.0
313.0 -478.447363058 -119.0 119.0 4.0
314.0 -386.056414409 -78.0 78.0 -131.0
315.0 -233.96490713 -20.0 20.0 -215.0
316.0 -45.17723664 33.0 -33.0 -269.0
317.0 151.218217638 84.0 -84.0 -269.0
318.0 324.485071503 118.0 -118.0 -266.0
319.0 447.06148759 142.0 -142.0 -225.0
320.0 499.013364214 144.0 -144.0 -147.0
321.0 471.39061654 123.0 -123.0 -14.0
322.0 367.906746704 76.0 -76.0 121.0
323.0 204.611227536 16.0 -16.0 223.0
324.0 7.53953661802 -43.0 43.0 254.0
325.0 -191.341716183 -89.0 89.0 248.0
326.0 -359.281705444 -121.0 121.0 254.0
327.0 -468.164727343 -144.0 144.0 182.0
328.0 -499.303762356 -136.0 136.0 96.0
329.0 -446.779760125 -108.0 108.0 -39.0
330.0 -318.711994874 -55.0 55.0 -175.0
331.0 -136.173710933 7.0 -7.0 -229.0
332.0 70.1395769779 59.0 -59.0 -269.0
333.0 264.989233934 106.0 -106.0 -273.0
334.0 414.596848173 137.0 -137.0 -262.0
335.0 492.554663077 150.0 -150.0 -177.0
336.0 484.60256364 132.0 -132.0 -35.0
337.0 391.390982608 85.0 -85.0 76.0
338.0 228.673140569 30.0 -30.0 208.0
339.0 24.808391683 -36.0 36.0 254.0
340.0 -184.062276342 -87.0 87.0 251.0
341.0 -360.372358951 -122.0 122.0 251.0
342.0 -471.91201177 -144.0 144.0 184.0
343.0 -497.81044904 -136.0 136.0 97.0
344.0 -432.593215258 -105.0 105.0 -35.0
345.0 -287.502626022 -50.0 50.0 -177.0
346.0 -88.7484918321 17.0 -17.0 -233.0
347.0 127.08154524 72.0 -72.0 -266.0
348.0 319.679242773 117.0 -117.0 -236.0
349.0 452.547199431 137.0 -137.0 -233.0
350.0 500.0 146.0 -146.0 -125.0
351.0 452.27967443 115.0 -115.0 -16.0
352.0 317.742733817 66.0 -66.0 123.0
353.0 121.604365693 0.0 0.0 218.0
354.0 -98.6233540106 -63.0 63.0 248.0
355.0 -300.210112663 -109.0 109.0 226.0
356.0 -443.489297441 -133.0 133.0 223.0
357.0 -499.743313555 -144.0 144.0 139.0
358.0 -457.112834394 -119.0 119.0 4.0
359.0 -323.288388559 -65.0 65.0 -128.0
360.0 -124.344943582 0.0 0.0 -233.0
361.0 100.16280107 66.0 -66.0 -269.0
362.0 304.961945554 114.0 -114.0 -233.0
363.0 448.181333306 136.0 -136.0 -229.0
364.0 499.998420864 145.0 -145.0 -129.0
365.0 449.01378788 115.0 -115.0 -15.0
366.0 304.961945554 63.0 -63.0 121.0
367.0 97.0829335788 -4.0 4.0 226.0
368.0 -131.633474309 -71.0 71.0 254.0
369.0 -333.240212291 -117.0 117.0 220.0
370.0 -464.888242944 -136.0 136.0 218.0
371.0 -498.039106992 -143.0 143.0 97.0
372.0 -424.835943852 -104.0 104.0 -17.0
373.0 -260.176999159 -48.0 48.0 -141.0
374.0 -38.9163493237 20.0 -20.0 -236.0
375.0 191.341716183 85.0 -85.0 -236.0
376.0 380.406937859 123.0 -123.0 -229.0
377.0 486.476780482 143.0 -143.0 -189.0
378.0 485.517139027 134.0 -134.0 -81.0
379.0 376.919343441 91.0 -91.0 30.0
380.0 184.062276342 30.0 -30.0 170.0
381.0 -50.4934205803 -44.0 44.0 226.0
382.0 -274.248778203 -100.0 100.0 218.0
383.0 -436.478067086 -130.0 130.0 223.0
384.0 -499.808936628 -144.0 144.0 141.0
385.0 -449.01378788 -118.0 118.0 52.0
386.0 -294.908337622 -69.0 69.0 -82.0
387.0 -72.3162615488 1.0 -1.0 -189.0
388.0 167.594242303 71.0 -71.0 -235.0
389.0 368.968647934 120.0 -120.0 -229.0
390.0 484.291580564 142.0 -142.0 -189.0
391.0 485.741472215 134.0 -134.0 -83.0
392.0 372.132460455 91.0 -91.0 30.0
393.0 169.664513082 27.0 -27.0 169.0
394.0 -73.8701822184 -48.0 48.0 223.0
395.0 -300.210112663 -104.0 104.0 248.0
396.0 -454.530828997 -140.0 140.0 223.0
397.0 -498.827850566 -144.0 144.0 141.0
398.0 -421.489290342 -112.0 112.0 8.0
399.0 -240.601489659 -49.0 49.0 -114.0
400.0 -1.95943487864e-12 22.0 -22.0 -225.0
401.0 241.152089348 93.0 -93.0 -229.0
402.0 422.835968543 130.0 -130.0 -222.0
403.0 499.182920696 144.0 -144.0 -162.0
