n	uL	uR	sensor 0	sensor 1	sensor 2	sensor 3	sensor 4	sensor 5	error
245.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
246.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
247.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
248.0	4.0	-4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
249.0	3.0	-3.0	0.0	0.0	834.0	653.0	53.0	0.0	-8.0
250.0	-4.0	4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
251.0	3.0	-3.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
252.0	3.0	-3.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
253.0	-24.0	24.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
254.0	3.0	-3.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
255.0	-23.0	23.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
256.0	-24.0	24.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
257.0	6.0	-6.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
258.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
259.0	3.0	-3.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
260.0	10.0	-10.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
261.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
262.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
263.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
264.0	4.0	-4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
265.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
266.0	4.0	-4.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
267.0	-23.0	23.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
268.0	-23.0	23.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
269.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
270.0	3.0	-3.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
271.0	4.0	-4.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
272.0	-24.0	24.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
273.0	6.0	-6.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
274.0	4.0	-4.0	0.0	0.0	793.0	647.0	48.0	0.0	-51.0
275.0	-25.0	25.0	0.0	5.0	793.0	658.0	59.0	0.0	13.0
276.0	6.0	-6.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
277.0	3.0	-3.0	0.0	0.0	798.0	653.0	53.0	0.0	4.0
278.0	2.0	-2.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
279.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
280.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
281.0	3.0	-3.0	0.0	0.0	784.0	653.0	48.0	0.0	-46.0
282.0	-23.0	23.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
283.0	4.0	-4.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
284.0	4.0	-4.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
285.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
286.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
287.0	3.0	-3.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
288.0	4.0	-4.0	3.0	5.0	793.0	663.0	64.0	2.0	20.0
289.0	10.0	-10.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
290.0	4.0	-4.0	0.0	0.0	793.0	647.0	48.0	0.0	-51.0
291.0	-25.0	25.0	0.0	11.0	798.0	663.0	64.0	2.0	18.0
292.0	9.0	-9.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
293.0	3.0	-3.0	0.0	0.0	793.0	647.0	48.0	0.0	-51.0
294.0	-25.0	25.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
295.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
296.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
297.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
298.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
299.0	3.0	-3.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
300.0	4.0	-4.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
301.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
302.0	3.0	-3.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
303.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
304.0	4.0	-4.0	3.0	5.0	793.0	658.0	59.0	0.0	13.0
305.0	6.0	-6.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
306.0	4.0	-4.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
307.0	3.0	-3.0	0.0	5.0	798.0	663.0	64.0	2.0	18.0
308.0	9.0	-9.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
309.0	-23.0	23.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
310.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
311.0	4.0	-4.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
312.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
313.0	3.0	-3.0	0.0	0.0	784.0	653.0	48.0	0.0	-46.0
314.0	-23.0	23.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
315.0	-23.0	23.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
316.0	3.0	-3.0	0.0	0.0	784.0	647.0	48.0	0.0	-48.0
317.0	-24.0	24.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
318.0	-23.0	23.0	0.0	0.0	793.0	663.0	53.0	0.0	9.0
319.0	4.0	-4.0	0.0	0.0	784.0	653.0	53.0	0.0	9.0
320.0	4.0	-4.0	3.0	5.0	798.0	663.0	64.0	2.0	18.0
321.0	9.0	-9.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
322.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
323.0	3.0	-3.0	0.0	5.0	793.0	663.0	64.0	2.0	20.0
324.0	10.0	-10.0	0.0	0.0	798.0	663.0	53.0	0.0	7.0
325.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
326.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
327.0	4.0	-4.0	0.0	0.0	793.0	658.0	53.0	0.0	7.0
328.0	3.0	-3.0	0.0	0.0	793.0	653.0	53.0	0.0	6.0
329.0	3.0	-3.0	0.0	0.0	788.0	653.0	53.0	0.0	8.0
330.0	4.0	-4.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
331.0	-23.0	23.0	0.0	0.0	793.0	658.0	48.0	0.0	-47.0
